sire,dim_0,dim_1,sire_line,n_runners,avg_distance,overall_top3_rate,overall_win_rate,mstn_allele_c,mstn_allele_t,dist_sprint_rate,dist_mile_rate,dist_middle_rate,dist_long_rate,surf_芝_rate,surf_ダート_rate,surf_芝_top3,surf_ダート_top3
Into Mischief,-0.6783245505910215,-3.2624320838125196,ストームキャット系,22,1200.0,0.2727272727272727,0.09090909090909091,0.4,0.6,1.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0
アジアエクスプレス,-1.2923157318866227,-0.295805131979415,その他,55,1520.0,0.18181818181818182,0.09090909090909091,0.4,0.6,0.4,0.2,0.4,0.0,0.09090909090909091,0.0,0.4,0.0
アドマイヤマーズ,-0.5167863503057857,1.3724300708452888,サンデーサイレンス系,64,1768.421052631579,0.171875,0.078125,0.4,0.6,0.21052631578947367,0.15789473684210525,0.5263157894736842,0.10526315789473684,0.296875,0.0,0.15789473684210525,0.0
アニマルキングダムAnimal Kingdom(米),1.5710042079200204,-2.283711282033601,デピュティミニスター系,28,1896.25,0.32142857142857145,0.10714285714285714,0.4,0.6,0.125,0.25,0.5,0.125,0.25,0.03571428571428571,0.2857142857142857,0.0
アメリカンペイトリオット,-1.5623499233801426,0.3137734954994944,ミスタープロスペクター系,71,1827.0588235294117,0.15492957746478872,0.028169014084507043,0.4,0.6,0.17647058823529413,0.23529411764705882,0.4117647058823529,0.17647058823529413,0.23943661971830985,0.0,0.17647058823529413,0.0
アルアイン,0.06539343772974734,2.2372802120471555,サンデーサイレンス系,59,1872.5,0.1694915254237288,0.03389830508474576,0.4,0.6,0.1875,0.125,0.5625,0.125,0.2711864406779661,0.0,0.3125,0.0
イスラボニータ,0.9132475006047702,-0.6260454557786435,サンデーサイレンス系,94,1682.3333333333333,0.26595744680851063,0.07446808510638298,0.5,0.5,0.3,0.2,0.43333333333333335,0.06666666666666667,0.30851063829787234,0.010638297872340425,0.20689655172413793,0.0
インディチャンプ,0.7489117216120721,-2.0592772634768624,サンデーサイレンス系,31,1575.0,0.3870967741935484,0.12903225806451613,0.4,0.6,0.375,0.25,0.375,0.0,0.25806451612903225,0.0,0.375,0.0
ウインブライト,-1.414406165072903,3.7796928904023575,サンデーサイレンス系,44,1813.0434782608695,0.11363636363636363,0.0,0.4,0.6,0.08695652173913043,0.21739130434782608,0.6521739130434783,0.043478260869565216,0.5227272727272727,0.0,0.08695652173913043,0.0
エイシンヒカリ,-0.9945078084456995,1.4795522547928324,サンデーサイレンス系,31,2020.0,0.1935483870967742,0.0,0.4,0.6,0.38461538461538464,0.07692307692307693,0.23076923076923078,0.3076923076923077,0.3870967741935484,0.03225806451612903,0.25,0.0
エイシンフラッシュ,-1.645473906491342,2.374438564030516,サンデーサイレンス系,24,1866.6666666666667,0.16666666666666666,0.08333333333333333,0.4,0.6,0.0,0.2222222222222222,0.7777777777777778,0.0,0.375,0.0,0.1111111111111111,0.0
エスポワールシチー,-1.5664160230490067,-3.284469833704516,サンデーサイレンス系,38,2880.0,0.2894736842105263,0.18421052631578946,0.4,0.6,0.0,0.0,0.0,1.0,0.0,0.02631578947368421,0.0,0.0
エピファネイア,4.504025414512656,0.5842682840366091,ロベルト系,190,1938.4,0.3157894736842105,0.1,0.5,0.5,0.04,0.21,0.61,0.14,0.5105263157894737,0.015789473684210527,0.31958762886597936,0.0
オルフェーヴル,1.5272368168100068,1.332223911148108,サンデーサイレンス系,95,1953.142857142857,0.23157894736842105,0.11578947368421053,0.05,0.95,0.11428571428571428,0.14285714285714285,0.5428571428571428,0.2,0.3684210526315789,0.0,0.22857142857142856,0.0
カリフォルニアクロームCalifornia Chrome(米),0.5169827810582007,-0.6874255527041345,ミスタープロスペクター系,64,1854.5454545454545,0.234375,0.078125,0.4,0.6,0.0,0.2727272727272727,0.7272727272727273,0.0,0.171875,0.0,0.09090909090909091,0.0
カレンブラックヒル,-2.063236084028254,0.47591755973956945,ミスタープロスペクター系,37,1946.6666666666667,0.10810810810810811,0.08108108108108109,0.4,0.6,0.16666666666666666,0.16666666666666666,0.5,0.16666666666666666,0.13513513513513514,0.02702702702702703,0.2,0.0
キズナ,5.539823938838126,0.1932818877332247,サンデーサイレンス系,212,2015.764705882353,0.3160377358490566,0.12735849056603774,0.5,0.5,0.011764705882352941,0.16470588235294117,0.6470588235294118,0.17647058823529413,0.3915094339622642,0.009433962264150943,0.3493975903614458,0.0
キセキ,-2.2322258465026494,1.8766488224836329,キングカメハメハ系,31,1933.3333333333333,0.12903225806451613,0.0,0.4,0.6,0.1111111111111111,0.0,0.7777777777777778,0.1111111111111111,0.2903225806451613,0.0,0.1111111111111111,0.0
キタサンブラック,8.05001392218154,-0.008396119521882881,サンデーサイレンス系,151,2058.3783783783783,0.3509933774834437,0.1456953642384106,0.5,0.5,0.05405405405405406,0.13513513513513514,0.581081081081081,0.22972972972972974,0.4503311258278146,0.039735099337748346,0.3088235294117647,0.6666666666666666
キングカメハメハ,-0.5046433968240758,2.16200782393566,キングカメハメハ系,38,2119.0476190476193,0.21052631578947367,0.05263157894736842,0.5,0.5,0.047619047619047616,0.0,0.6190476190476191,0.3333333333333333,0.5263157894736842,0.02631578947368421,0.2,0.0
キンシャサノキセキ,2.2289474212108975,-1.1031783657359526,サンデーサイレンス系,38,2206.25,0.3157894736842105,0.15789473684210525,0.4,0.6,0.25,0.0,0.375,0.375,0.13157894736842105,0.07894736842105263,0.4,0.0
クリソベリル,-0.12854533254004244,-3.426534528580853,サンデーサイレンス系,70,1800.0,0.2571428571428571,0.1,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
グレーターロンドン,-0.6545037835378789,1.4555730907053124,サンデーサイレンス系,37,1738.3333333333333,0.21621621621621623,0.02702702702702703,0.4,0.6,0.3333333333333333,0.08333333333333333,0.5,0.08333333333333333,0.32432432432432434,0.0,0.16666666666666666,0.0
コパノリッキー,-1.1904403860168704,0.16196961340583668,サンデーサイレンス系,52,1916.6666666666667,0.19230769230769232,0.07692307692307693,0.4,0.6,0.0,0.3333333333333333,0.5,0.16666666666666666,0.11538461538461539,0.0,0.0,0.0
コントレイル,0.643420156321937,1.468939986910399,サンデーサイレンス系,87,1848.888888888889,0.19540229885057472,0.04597701149425287,0.15,0.85,0.044444444444444446,0.2,0.7555555555555555,0.0,0.5172413793103449,0.0,0.17777777777777778,0.0
ゴールドシップ,-0.10046087226598495,4.335242308441314,サンデーサイレンス系,149,2200.4123711340208,0.174496644295302,0.013422818791946308,0.05,0.95,0.010309278350515464,0.041237113402061855,0.5257731958762887,0.422680412371134,0.6241610738255033,0.026845637583892617,0.1935483870967742,0.0
ゴールドドリーム,-0.773316647573277,-3.162535579421094,サンデーサイレンス系,69,1800.0,0.2898550724637681,0.07246376811594203,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
サトノアラジン,0.10638682097478265,0.5454467556039756,サンデーサイレンス系,78,1746.6666666666667,0.20512820512820512,0.0641025641025641,0.4,0.6,0.09523809523809523,0.47619047619047616,0.3333333333333333,0.09523809523809523,0.24358974358974358,0.02564102564102564,0.21052631578947367,0.0
サトノクラウン,-0.32056527780882105,1.2889837765349943,ノーザンダンサー系,56,2046.6666666666667,0.23214285714285715,0.08928571428571429,0.4,0.6,0.125,0.041666666666666664,0.5416666666666666,0.2916666666666667,0.4107142857142857,0.017857142857142856,0.17391304347826086,0.0
サトノダイヤモンド,0.4930653093257431,1.888711753631848,サンデーサイレンス系,119,2072.8260869565215,0.20168067226890757,0.07563025210084033,0.1,0.9,0.06521739130434782,0.13043478260869565,0.5,0.30434782608695654,0.35294117647058826,0.03361344537815126,0.11904761904761904,0.0
サンダースノーThunder Snow(愛),-1.2945357329142733,0.46594584891498936,サドラーズウェルズ系,56,1466.6666666666667,0.19642857142857142,0.08928571428571429,0.4,0.6,0.5,0.16666666666666666,0.3333333333333333,0.0,0.10714285714285714,0.0,0.16666666666666666,0.0
サートゥルナーリア,2.070864844157795,-0.3082390434229276,キングカメハメハ系,118,1827.906976744186,0.2711864406779661,0.11016949152542373,0.5,0.5,0.06976744186046512,0.2558139534883721,0.627906976744186,0.046511627906976744,0.3644067796610169,0.0,0.20930232558139536,0.0
シスキンSiskin(米),0.7820107882698448,-0.7172969943613189,デインヒル系,32,1680.0,0.3125,0.03125,0.4,0.6,0.13333333333333333,0.3333333333333333,0.5333333333333333,0.0,0.46875,0.0,0.2,0.0
シニスターミニスターSinister Minister(米),0.07423014920979794,-2.6587336923173295,エーピーインディ系,125,2880.0,0.272,0.096,0.4,0.6,0.0,0.0,0.0,1.0,0.0,0.008,0.0,0.0
シャンハイボビーShanghai Bobby(米),-1.8929766079404566,-2.329072296581443,ストームキャット系,66,1863.0,0.19696969696969696,0.030303030303030304,0.4,0.6,0.2,0.4,0.1,0.3,0.13636363636363635,0.015151515151515152,0.1111111111111111,0.0
シュヴァルグラン,-2.929705336457225,1.9070099012009707,サンデーサイレンス系,29,1828.0,0.13793103448275862,0.0,0.4,0.6,0.2,0.1,0.5,0.2,0.3103448275862069,0.034482758620689655,0.1111111111111111,0.0
シルバーステート,3.790103477957875,0.5136310036798132,サンデーサイレンス系,171,1848.5294117647059,0.27485380116959063,0.1286549707602339,0.4,0.6,0.11764705882352941,0.25,0.5147058823529411,0.11764705882352941,0.3684210526315789,0.029239766081871343,0.30158730158730157,0.4
ジャスタウェイ,3.038903749438363,0.8692722152359486,サンデーサイレンス系,74,1982.3809523809523,0.28378378378378377,0.0945945945945946,0.05,0.95,0.047619047619047616,0.3333333333333333,0.38095238095238093,0.23809523809523808,0.2702702702702703,0.013513513513513514,0.3,0.0
スクリーンヒーロー,2.9523985029080433,1.3255175359687177,ロベルト系,46,1990.5882352941176,0.3695652173913043,0.15217391304347827,0.5,0.5,0.11764705882352941,0.0,0.7058823529411765,0.17647058823529413,0.34782608695652173,0.021739130434782608,0.375,0.0
ストロングリターン,-4.099236639812425,1.7071319257094382,サンデーサイレンス系,24,1882.5,0.125,0.041666666666666664,0.4,0.6,0.375,0.125,0.25,0.25,0.2916666666666667,0.041666666666666664,0.0,0.0
スワーヴリチャード,1.3130654553730696,2.391404167885344,サンデーサイレンス系,70,1862.962962962963,0.24285714285714285,0.02857142857142857,0.1,0.9,0.14814814814814814,0.14814814814814814,0.5925925925925926,0.1111111111111111,0.38571428571428573,0.0,0.25925925925925924,0.0
